run_family,group,n,avg_l2_np,avg_l2_nc,avg_l2_nn
2022-12-08_pnp_soft_toys,initial,2,0.059147,0.101576,0.083046
2022-12-08_pnp_soft_toys,final,2,0.011559,0.02561,0.028158
2022-12-09_pnp_soft_toys,initial,7,0.052469,0.05493,0.097393
2022-12-09_pnp_soft_toys,final,7,0.091401,0.060831,0.065764
2022-12-11_pnp_soft_toys,initial,2,0.070849,0.076024,0.090878
2022-12-11_pnp_soft_toys,final,2,0.248538,0.151964,0.162461
2022-12-15_pnp_many_objects_in_env,initial,7,0.065652,0.069096,0.077839
2022-12-15_pnp_many_objects_in_env,final,7,0.081827,0.111399,0.104462
2023-01-04_pnp_objects,initial,4,0.030151,0.085459,0.070442
2023-01-04_pnp_objects,final,4,0.096771,0.09471,0.131572
2023-01-09_pnp_rigid_objects,initial,3,0.050673,0.152542,0.157989
2023-01-09_pnp_rigid_objects,final,3,0.06631,0.107525,0.096966
2023-01-11_pnp_objects,initial,6,0.081275,0.100422,0.08701
2023-01-11_pnp_objects,final,6,0.098853,0.077716,0.082811
2023-05-25_bin_pnp,initial,4,0.021456,0.027877,0.032718
2023-05-25_bin_pnp,final,4,0.104612,0.10349,0.063177
pnp_utensils_11-18,initial,2,0.033883,0.074611,0.050857
pnp_utensils_11-18,final,2,0.10086,0.052669,0.072618
pnp_utensils_11-28,initial,2,0.086763,0.064364,0.05717
pnp_utensils_11-28,final,2,0.0137,0.055387,0.068314
pnp_utensils_11-29,initial,1,0.007884,0.008448,0.007643
pnp_utensils_11-29,final,1,0.027069,0.101524,0.048952
pnp_utensils_12-01,initial,3,0.036977,0.019132,0.032744
pnp_utensils_12-01,final,3,0.016348,0.082539,0.056848
pnp_utensils_12-06_gripper_start_closed,initial,2,0.093331,0.058859,0.032452
pnp_utensils_12-06_gripper_start_closed,final,2,0.08978,0.062105,0.068393
pnp_utensils_12-07_rigid_objects,initial,4,0.048695,0.050399,0.062198
pnp_utensils_12-07_rigid_objects,final,4,0.038641,0.19374,0.05627
sweep_12-03,initial,1,0.13372,0.085799,0.051465
sweep_12-03,final,1,0.06366,0.085984,0.102355
