experiment,group,metric,mean,ci95_lower,ci95_upper
manual40,initial,l2_normal_paraphrased_6d,0.028126,0.016002,0.042951
manual40,initial,l2_normal_contradictory_6d,0.042365,0.027787,0.059539
manual40,initial,l2_normal_neutral_6d,0.04533,0.032649,0.059542
manual40,initial,cos_normal_paraphrased_6d,0.678776,0.522592,0.82427
manual40,initial,cos_normal_contradictory_6d,0.586046,0.428031,0.73018
manual40,initial,cos_normal_neutral_6d,0.425675,0.266655,0.582058
manual40,final,l2_normal_paraphrased_6d,0.043141,0.030908,0.056137
manual40,final,l2_normal_contradictory_6d,0.05992,0.042288,0.079732
manual40,final,l2_normal_neutral_6d,0.070772,0.052691,0.090367
manual40,final,cos_normal_paraphrased_6d,0.480281,0.295427,0.6453
manual40,final,cos_normal_contradictory_6d,0.21904,0.025807,0.397072
manual40,final,cos_normal_neutral_6d,-0.001856,-0.166706,0.165543
auto50,initial,l2_normal_paraphrased_6d,0.056164,0.04188,0.07118
auto50,initial,l2_normal_contradictory_6d,0.069716,0.053953,0.087871
auto50,initial,l2_normal_neutral_6d,0.073405,0.060928,0.088257
auto50,initial,cos_normal_paraphrased_6d,0.483856,0.319357,0.653702
auto50,initial,cos_normal_contradictory_6d,0.269209,0.085639,0.446407
auto50,initial,cos_normal_neutral_6d,0.170514,0.014372,0.32836
auto50,final,l2_normal_paraphrased_6d,0.080668,0.061054,0.103965
auto50,final,l2_normal_contradictory_6d,0.093857,0.076429,0.112974
auto50,final,l2_normal_neutral_6d,0.082103,0.068564,0.097324
auto50,final,cos_normal_paraphrased_6d,0.386891,0.223334,0.541851
auto50,final,cos_normal_contradictory_6d,0.157202,0.007887,0.303423
auto50,final,cos_normal_neutral_6d,0.22044,0.060456,0.370873
